string,occurance,result,prob
'0010101',2,p(1|0010101),0.5026198009517907
'0010110',8,p(1|0010110),0.00614533327086472
'0010111',12,p(1|0010111),0.5833974933905599
'0011000',36,p(1|0011000),0.33317485279030684
'0011001',11,p(1|0011001),0.1814807495201901
'0011010',13,p(1|0011010),0.30605344224537834
'0011011',6,p(1|0011011),0.6716225981982629
'0011100',14,p(1|0011100),0.14306765577818256
'0011101',6,p(1|0011101),0.8354206010007542
'0011110',14,p(1|0011110),0.1435210352439807
'0011111',9,p(1|0011111),0.659570376239464
'0100000',179,p(1|0100000),0.13408603595768717
'0100001',21,p(1|0100001),0.19364349573303583
'0100010',20,p(1|0100010),0.15079645982998952
'0100011',7,p(1|0100011),0.7028509485910104
'0100100',25,p(1|0100100),0.19978715227770769
'0100101',26,p(1|0100101),0.15447040352511507
'0100110',9,p(1|0100110),0.22427183093926203
'0100111',11,p(1|0100111),0.45762842008464955
'0101000',23,p(1|0101000),0.3466532018055716
'0101001',11,p(1|0101001),0.361785003877198
'0101010',1,p(1|0101010),0.0016861386455837447
'0101011',1,p(1|0101011),0.008056060715684456
'0101100',10,p(1|0101100),0.0989765493150308
'0101101',2,p(1|0101101),0.9250383915274103
'0101110',5,p(1|0101110),0.3915816517651391
'0101111',7,p(1|0101111),0.4314661271575251
'0110000',35,p(1|0110000),0.2290733060108603
'0110001',16,p(1|0110001),0.2504172826407549
'0110010',10,p(1|0110010),0.004073631942873045
'0110011',2,p(1|0110011),0.4842796989381589
'0110100',13,p(1|0110100),0.46075929443264557
'0110101',4,p(1|0110101),0.749532652624931
'0110110',2,p(1|0110110),0.9283330924825925
'0110111',7,p(1|0110111),0.7171396376574174
'0111000',17,p(1|0111000),0.528884678065996
'0111001',3,p(1|0111001),0.030203831359682475
'0111010',1,p(1|0111010),0.01173758949059795
'0111011',7,p(1|0111011),0.5660170436880092
'0111100',19,p(1|0111100),0.36996279984576047
'0111101',4,p(1|0111101),0.9998535440442469
'0111110',10,p(1|0111110),0.299325023783447
'0111111',8,p(1|0111111),0.8679093401218837
'1000000',186,p(1|1000000),0.1020464674463474
'1000001',30,p(1|1000001),0.6623582657728198
'1000010',21,p(1|1000010),0.3767924592768778
'1000011',15,p(1|1000011),0.46415461507256034
'1000100',35,p(1|1000100),0.17186932345031397
'1000101',9,p(1|1000101),0.8782070986970054
'1000110',9,p(1|1000110),0.43941263347645393
'1000111',7,p(1|1000111),0.8431818991139303
'1001000',36,p(1|1001000),0.19363889160836148
'1001001',8,p(1|1001001),0.6124505766889734
'1001010',23,p(1|1001010),0.04367552341064114
'1001011',6,p(1|1001011),0.9808822689764695
'1001100',10,p(1|1001100),0.2980709227703781
'1001101',4,p(1|1001101),0.48718393292860845
'1001110',6,p(1|1001110),0.3317356858327349
'1001111',8,p(1|1001111),0.7370575517191879
'1010000',23,p(1|1010000),0.130108023977808
'1010001',8,p(1|1010001),0.12985567255649122
'1010010',12,p(1|1010010),0.662824565398752
'1010011',5,p(1|1010011),0.7858062966142714
'1010100',2,p(1|1010100),0.4770162277620088
'1010101',0,p(1|1010101),0.5200851406303955
'1010110',4,p(1|1010110),0.4769782014298086
'1010111',0,p(1|1010111),0.5859638956796221
'1011000',15,p(1|1011000),0.26759785335216585
'1011001',1,p(1|1011001),0.03902497659857566
'1011010',4,p(1|1011010),0.016397856247333115
'1011011',3,p(1|1011011),0.9791582935300172
'1011100',6,p(1|1011100),0.1660107107346049
'1011101',2,p(1|1011101),0.9839781679585875
'1011110',9,p(1|1011110),0.22068288214934664
'1011111',9,p(1|1011111),0.22946284935774355
'1100000',37,p(1|1100000),0.16197389402716644
'1100001',15,p(1|1100001),0.727098461379978
'1100010',24,p(1|1100010),0.24943078742999122
'1100011',9,p(1|1100011),0.2291195617972447
'1100100',19,p(1|1100100),0.15827020479927484
'1100101',3,p(1|1100101),0.6250217008213717
'1100110',5,p(1|1100110),0.39353359013870515
'1100111',3,p(1|1100111),0.9609700445322851
'1101000',8,p(1|1101000),0.00927947012889368
'1101001',6,p(1|1101001),0.17272548314481545
'1101010',1,p(1|1101010),0.0016861386455837447
'1101011',3,p(1|1101011),0.0031735996758756957
'1101100',6,p(1|1101100),0.003088644118224958
'1101101',5,p(1|1101101),0.21275250953076294
'1101110',3,p(1|1101110),0.022843258895526405
'1101111',11,p(1|1101111),0.5442214803761002
'1110000',17,p(1|1110000),0.409612005906553
'1110001',17,p(1|1110001),0.29374576341296554
'1110010',12,p(1|1110010),0.24731369178956034
'1110011',6,p(1|1110011),0.3355306837393278
'1110100',1,p(1|1110100),0.09853739688783598
'1110101',0,p(1|1110101),0.7433013542906767
'1110110',9,p(1|1110110),0.3371146357752648
'1110111',7,p(1|1110111),0.8541259390272805
'1111000',17,p(1|1111000),0.47108120985790364
'1111001',15,p(1|1111001),0.39867141460699035
'1111010',0,p(1|1111010),0.05086288779259113
'1111011',9,p(1|1111011),0.336766066550803
'1111100',13,p(1|1111100),0.6120512809791863
'1111101',5,p(1|1111101),0.9998811772434456
'1111110',8,p(1|1111110),0.2509696078276511
'1111111',17,p(1|1111111),0.5898062152029846
'00000000',4602,p(1|00000000),0.03324652960303678
'00000001',167,p(1|00000001),0.14972158411998573
'00000010',156,p(1|00000010),0.05127625127736988
'00000011',30,p(1|00000011),0.3660088772206255
'00000100',158,p(1|00000100),0.24049380830604722
'00000101',8,p(1|00000101),0.13415771901370865
'00000110',35,p(1|00000110),0.11549042600697376
'00000111',15,p(1|00000111),0.33484735296772916
'00001000',131,p(1|00001000),0.08394906577630837
'00001001',40,p(1|00001001),0.2001323775442044
